"Municipio";"Populacao_residente"
"150775 SAPUCAIA";6160
"150780 SENADOR JOSE PORFIRIO";24441
"150790 SOURE";25218
"150795 TAILANDIA";75526
"150796 TERRA ALTA";10815
"150797 TERRA SANTA";19667
"150800 TOME-ACU";72326
"150803 TRACUATEUA";30373
"150805 TRAIRAO";15619
"150808 TUCUMA";42480
"150810 TUCURUI";96238
"150812 ULIANOPOLIS";39576
"150815 URUARA";45939
"150820 VIGIA";53806
"150830 VISEU";61970
"150835 VITORIA DO XINGU";16414
"150840 XINGUARA";56999
"160005 SERRA DO NAVIO";4986
"160010 AMAPA";8434
"160015 PEDRA BRANCA DO AMAPARI";13798
"160020 CALCOENE";11391
"160021 CUTIAS";4725
"160023 FERREIRA GOMES";7145
"160025 ITAUBAL";6043
"160027 LARANJAL DO JARI";37969
"160030 MACAPA";487200
"160040 MAZAGAO";23575
"160050 OIAPOQUE";30481
"160053 PORTO GRANDE";18988
"160055 PRACUUBA";4042
"160060 SANTANA";118353
"160070 TARTARUGALZINHO";13785
"160080 VITORIA DO JARI";11922
"170025 ABREULANDIA";2668
"170030 AGUIARNOPOLIS";4537
"170035 ALIANCA DO TOCANTINS";5222
"170040 ALMAS";6542
"170070 ALVORADA";9094
"170100 ANANAS";10662
"170105 ANGICO";2918
"170110 APARECIDA DO RIO NEGRO";5067
"170130 ARAGOMINAS";5360
"170190 ARAGUACEMA";6039
"170200 ARAGUACU";8273
"170210 ARAGUAINA";181493
"170215 ARAGUANA";4338
"170220 ARAGUATINS";33205
"170230 ARAPOEMA";5553
"170240 ARRAIAS";10522
"170255 AUGUSTINOPOLIS";18128
"170270 AURORA DO TOCANTINS";3420
"170290 AXIXA DO TOCANTINS";10663
"170300 BABACULANDIA";7779
"170305 BANDEIRANTES DO TOCANTINS";3534
"170307 BARRA DO OURO";4641
"170310 BARROLANDIA";4915
"170320 BERNARDO SAYAO";4316
"170330 BOM JESUS DO TOCANTINS";4181
"170360 BRASILANDIA DO TOCANTINS";2016
"170370 BREJINHO DE NAZARE";4796
"170380 BURITI DO TOCANTINS";10654
"170382 CACHOEIRINHA";1991
"170384 CAMPOS LINDOS";8951
"170386 CARIRI DO TOCANTINS";4147
"170388 CARMOLANDIA";2246
"170389 CARRASCO BONITO";3362
"170390 CASEARA";5009
"170410 CENTENARIO";2135
"170460 CHAPADA DE AREIA";1563
"170510 CHAPADA DA NATIVIDADE";3182
"170550 COLINAS DO TOCANTINS";35957
"170555 COMBINADO";4896
"170560 CONCEICAO DO TOCANTINS";3956
"170600 COUTO MAGALHAES";5515
"170610 CRISTALANDIA";6437
"170625 CRIXAS DO TOCANTINS";1499
"170650 DARCINOPOLIS";6054
"170700 DIANOPOLIS";18031
"170710 DIVINOPOLIS DO TOCANTINS";7297
"170720 DOIS IRMAOS DO TOCANTINS";6395
"170730 DUERE";4321
"170740 ESPERANTINA";7493
"170755 FATIMA";3520
"170765 FIGUEIROPOLIS";5336
