"Municipio";"Populacao_residente"
"261210 SALGADINHO";5620
"261220 SALGUEIRO";65635
"261230 SALOA";14173
"261240 SANHARO";18933
"261245 SANTA CRUZ";14320
"261247 SANTA CRUZ DA BAIXA VERDE";11933
"261250 SANTA CRUZ DO CAPIBARIBE";104277
"261255 SANTA FILOMENA";12402
"261260 SANTA MARIA DA BOA VISTA";42682
"261270 SANTA MARIA DO CAMBUCA";14533
"261280 SANTA TEREZINHA";10513
"261290 SAO BENEDITO DO SUL";13479
"261300 SAO BENTO DO UNA";51264
"261310 SAO CAITANO";39117
"261320 SAO JOAO";24772
"261330 SAO JOAQUIM DO MONTE";20440
"261340 SAO JOSE DA COROA GRANDE";19468
"261350 SAO JOSE DO BELMONTE";36752
"261360 SAO JOSE DO EGITO";32491
"261370 SAO LOURENCO DA MATA";117759
"261380 SAO VICENTE FERRER";17176
"261390 SERRA TALHADA";98143
"261400 SERRITA";18759
"261410 SERTANIA";34269
"261420 SIRINHAEM";39233
"261430 MOREILANDIA";10849
"261440 SOLIDAO";5403
"261450 SURUBIM";67515
"261460 TABIRA";29093
"261470 TACAIMBO";14277
"261480 TACARATU";24803
"261485 TAMANDARE";24534
"261500 TAQUARITINGA DO NORTE";25497
"261510 TEREZINHA";6857
"261520 TERRA NOVA";9221
"261530 TIMBAUBA";47575
"261540 TORITAMA";43636
"261550 TRACUNHAEM";14393
"261560 TRINDADE";32086
"261570 TRIUNFO";15142
"261580 TUPANATINGA";27009
"261590 TUPARETAMA";8252
"261600 VENTUROSA";17609
"261610 VERDEJANTE";9474
"261618 VERTENTE DO LERIO";7782
"261620 VERTENTES";22955
"261630 VICENCIA";27297
"261640 VITORIA DE SANTO ANTAO";143799
"261650 XEXEU";11791
"270010 AGUA BRANCA";19550
"270020 ANADIA";14193
"270030 ARAPIRACA";243661
"270040 ATALAIA";38530
"270050 BARRA DE SANTO ANTONIO";16735
"270060 BARRA DE SAO MIGUEL";8118
"270070 BATALHA";17103
"270080 BELEM";4820
"270090 BELO MONTE";5898
"270100 BOCA DA MATA";21517
"270110 BRANQUINHA";9786
"270120 CACIMBINHAS";10701
"270130 CAJUEIRO";16605
"270135 CAMPESTRE";6807
"270140 CAMPO ALEGRE";32714
"270150 CAMPO GRANDE";8293
"270160 CANAPI";15743
"270170 CAPELA";15068
"270180 CARNEIROS";9200
"270190 CHA PRETA";6010
"270200 COITE DO NOIA";11036
"270210 COLONIA LEOPOLDINA";15949
"270220 COQUEIRO SECO";5700
"270230 CORURIPE";51788
"270235 CRAIBAS";26115
"270240 DELMIRO GOUVEIA";52809
"270250 DOIS RIACHOS";9906
"270255 ESTRELA DE ALAGOAS";15701
"270260 FEIRA GRANDE";23191
"270270 FELIZ DESERTO";4038
"270280 FLEXEIRAS";9767
"270290 GIRAU DO PONCIANO";37335
"270300 IBATEGUARA";13992
"270310 IGACI";24452
"270320 IGREJA NOVA";22125
"270330 INHAPI";15417
"270340 JACARE DOS HOMENS";5182
"270350 JACUIPE";5432
"270360 JAPARATINGA";9443
"270370 JARAMATAIA";5075
"270375 JEQUIA DA PRAIA";9625
"270380 JOAQUIM GOMES";17386
"270390 JUNDIA";4176
"270400 JUNQUEIRO";24381
"270410 LAGOA DA CANOA";18831
"270420 LIMOEIRO DE ANADIA";25197
"270430 MACEIO";994464
"270440 MAJOR ISIDORO";17834
"270450 MARAGOGI";33232
"270460 MARAVILHA";9715
"270470 MARECHAL DEODORO";62341
"270480 MARIBONDO";13968
"270490 MAR VERMELHO";3212
"270500 MATA GRANDE";22147
"270510 MATRIZ DE CAMARAGIBE";24330
"270520 MESSIAS";15707
"270530 MINADOR DO NEGRAO";4938
"270540 MONTEIROPOLIS";7341
"270550 MURICI";25933
"270560 NOVO LINO";10298
"270570 OLHO D'AGUA DAS FLORES";21132
"270580 OLHO D'AGUA DO CASADO";8522
"270590 OLHO D'AGUA GRANDE";4384
"270600 OLIVENCA";11048
"270610 OURO BRANCO";11699
"270620 PALESTINA";4410
"270630 PALMEIRA DOS INDIOS";73596
"270640 PAO DE ACUCAR";24291
"270642 PARICONHA";10803
"270644 PARIPUEIRA";14176
"270650 PASSO DE CAMARAGIBE";14076
"270660 PAULO JACINTO";6697
"270670 PENEDO";60189
"270680 PIACABUCU";16201
"270690 PILAR";36499
"270700 PINDOBA";2786
"270710 PIRANHAS";23053
"270720 POCO DAS TRINCHEIRAS";12974
"270730 PORTO CALVO";24520
"270740 PORTO DE PEDRAS";9508
"270750 PORTO REAL DO COLEGIO";20262
"270760 QUEBRANGULO";11305
"270770 RIO LARGO";97435
"270780 ROTEIRO";6607
"270790 SANTA LUZIA DO NORTE";7065
"270800 SANTANA DO IPANEMA";47397
"270810 SANTANA DO MUNDAU";11568
"270820 SAO BRAS";6557
"270830 SAO JOSE DA LAJE";21193
"270840 SAO JOSE DA TAPERA";31557
"270850 SAO LUIS DO QUITUNDE";31792
"270860 SAO MIGUEL DOS CAMPOS";53391
"270870 SAO MIGUEL DOS MILAGRES";8687
"270880 SAO SEBASTIAO";32701
"270890 SATUBA";25000
"270895 SENADOR RUI PALMEIRA";12549
"270900 TANQUE D'ARCA";5909
"270910 TAQUARANA";19422
"270915 TEOTONIO VILELA";39161
"270920 TRAIPU";24124
"270930 UNIAO DOS PALMARES";60874
"270940 VICOSA";24423
"280010 AMPARO DE SAO FRANCISCO";2206
"280020 AQUIDABA";20542
"280030 ARACAJU";628849
"280040 ARAUA";10483
"280050 AREIA BRANCA";18560
"280060 BARRA DOS COQUEIROS";44384
"280067 BOQUIM";25038
"280070 BREJO GRANDE";8016
"280100 CAMPO DO BRITO";18646
"280110 CANHOBA";3855
"280120 CANINDE DE SAO FRANCISCO";33491
"280130 CAPELA";32716
"280140 CARIRA";20315
"280150 CARMOPOLIS";14179
"280160 CEDRO DE SAO JOAO";5482
"280170 CRISTINAPOLIS";17539
"280190 CUMBE";3906
"280200 DIVINA PASTORA";4433
"280210 ESTANCIA";66978
"280220 FEIRA NOVA";6207
"280230 FREI PAULO";14884
"280240 GARARU";11301
"280250 GENERAL MAYNARD";3111
"280260 GRACHO CARDOSO";5979
"280270 ILHA DAS FLORES";8495
"280280 INDIAROBA";16949
"280290 ITABAIANA";108408
"280300 ITABAIANINHA";42114
"280310 ITABI";4823
"280320 ITAPORANGA D'AJUDA";35863
"280330 JAPARATUBA";16472
"280340 JAPOATA";13707
"280350 LAGARTO";105558
"280360 LARANJEIRAS";24170
"280370 MACAMBIRA";7024
"280380 MALHADA DOS BOIS";3666
"280390 MALHADOR";11728
"280400 MARUIM";15975
"280410 MOITA BONITA";11288
"280420 MONTE ALEGRE DE SERGIPE";14732
"280430 MURIBECA";8033
"280440 NEOPOLIS";16558
"280445 NOSSA SENHORA APARECIDA";9496
"280450 NOSSA SENHORA DA GLORIA";43255
"280460 NOSSA SENHORA DAS DORES";25537
"280470 NOSSA SENHORA DE LOURDES";6404
"280480 NOSSA SENHORA DO SOCORRO";202450
"280490 PACATUBA";12709
"280500 PEDRA MOLE";2818
"280510 PEDRINHAS";7416
"280520 PINHAO";5769
"280530 PIRAMBU";8037
"280540 POCO REDONDO";29117
"280550 POCO VERDE";22214
"280560 PORTO DA FOLHA";27350
"280570 PROPRIA";27273
"280580 RIACHAO DO DANTAS";18579
"280590 RIACHUELO";8875
"280600 RIBEIROPOLIS";17362
"280610 ROSARIO DO CATETE";9499
"280620 SALGADO";20772
"280630 SANTA LUZIA DO ITANHY";13965
"280640 SANTANA DO SAO FRANCISCO";7530
"280650 SANTA ROSA DE LIMA";4038
"280660 SANTO AMARO DAS BROTAS";11297
"280670 SAO CRISTOVAO";100360
"280680 SAO DOMINGOS";10550
"280690 SAO FRANCISCO";3323
"280700 SAO MIGUEL DO ALEIXO";3481
"280710 SIMAO DIAS";44285
"280720 SIRIRI";7984
"280730 TELHA";3373
"280740 TOBIAS BARRETO";52613
"280750 TOMAR DO GERU";12145
"280760 UMBAUBA";24538
"290010 ABAIRA";7452
"290020 ABARE";18240
"290030 ACAJUTIBA";14215
"290035 ADUSTINA";14554
"290040 AGUA FRIA";14871
"290050 ERICO CARDOSO";10948
"290060 AIQUARA";4586
"290070 ALAGOINHAS";160662
"290080 ALCOBACA";25494
"290090 ALMADINA";5327
"290100 AMARGOSA";38478
"290110 AMELIA RODRIGUES";24848
"290115 AMERICA DOURADA";15583
"290120 ANAGE";26715
"290130 ANDARAI";13531
"290135 ANDORINHA";15485
"290140 ANGICAL";14178
"290150 ANGUERA";11456
"290160 ANTAS";15061
"290170 ANTONIO CARDOSO";11501
"290180 ANTONIO GONCALVES";11236
"290190 APORA";16379
"290195 APUAREMA";7114
"290200 ARACATU";14422
"290205 ARACAS";11946
"290210 ARACI";50336
"290220 ARAMARI";10122
"290225 ARATACA";10463
"290230 ARATUIPE";8981
"290240 AURELINO LEAL";11409
"290250 BAIANOPOLIS";14110
"290260 BAIXA GRANDE";18680
"290265 BANZAE";12309
"290270 BARRA";53528
"290280 BARRA DA ESTIVA";27582
"290290 BARRA DO CHOCA";38481
"290300 BARRA DO MENDES";14345
"290310 BARRA DO ROCHA";5920
"290320 BARREIRAS";170667
"290323 BARRO ALTO";13911
"290327 BARROCAS";15743
"290330 BARRO PRETO";5966
"290340 BELMONTE";20567
"290350 BELO CAMPO";19042
"290360 BIRITINGA";15606
"290370 BOA NOVA";14052
"290380 BOA VISTA DO TUPIM";17307
"290390 BOM JESUS DA LAPA";68704
"290395 BOM JESUS DA SERRA";10028
"290400 BONINAL";14104
"290405 BONITO";16393
"290410 BOQUIRA";19829
"290420 BOTUPORA";11411
"290430 BREJOES";13272
"290440 BREJOLANDIA";9377
"290450 BROTAS DE MACAUBAS";12169
"290460 BRUMADO";74095
"290470 BUERAREMA";15056
"290475 BURITIRAMA";20212
"290480 CAATIBA";6224
"290485 CABACEIRAS DO PARAGUACU";17039
"290490 CACHOEIRA";30550
"290500 CACULE";23246
"290510 CAEM";10729
"290515 CAETANOS";11500
"290520 CAETITE";54572
"290530 CAFARNAUM";18039
"290540 CAIRU";18486
"290550 CALDEIRAO GRANDE";13566
"290560 CAMACAN";22756
"290570 CAMACARI";319394
"290580 CAMAMU";31775
"290590 CAMPO ALEGRE DE LOURDES";32377
"290600 CAMPO FORMOSO";74894
"290610 CANAPOLIS";10612
"290620 CANARANA";24989
"290630 CANAVIEIRAS";34343
"290640 CANDEAL";7969
"290650 CANDEIAS";75083
"290660 CANDIBA";13425
"290670 CANDIDO SALES";26465
"290680 CANSANCAO";39556
"290682 CANUDOS";16662
"290685 CAPELA DO ALTO ALEGRE";11055
"290687 CAPIM GROSSO";35228
"290689 CARAIBAS";10260
"290690 CARAVELAS";21229
"290700 CARDEAL DA SILVA";8634
"290710 CARINHANHA";30375
"290720 CASA NOVA";75815
"290730 CASTRO ALVES";25471
"290740 CATOLANDIA";3560
"290750 CATU";50153
"290755 CATURAMA";9115
"290760 CENTRAL";16849
"290770 CHORROCHO";10929
"290780 CICERO DANTAS";32268
"290790 CIPO";17836
"290800 COARACI";17663
"290810 COCOS";19817
"290820 CONCEICAO DA FEIRA";21499
"290830 CONCEICAO DO ALMEIDA";16184
"290840 CONCEICAO DO COITE";71316
"290850 CONCEICAO DO JACUIPE";37409
"290860 CONDE";24434
"290870 CONDEUBA";17571
"290880 CONTENDAS DO SINCORA";4490
"290890 CORACAO DE MARIA";28258
"290900 CORDEIROS";7763
"290910 CORIBE";14464
"290920 CORONEL JOAO SA";17593
"290930 CORRENTINA";34179
"290940 COTEGIPE";13472
"290950 CRAVOLANDIA";4514
"290960 CRISOPOLIS";20343
"290970 CRISTOPOLIS";14514
"290980 CRUZ DAS ALMAS";63203
"290990 CURACA";36021
"291000 DARIO MEIRA";11094
"291005 DIAS D'AVILA";75053
"291010 DOM BASILIO";12309
"291020 DOM MACEDO COSTA";4588
"291030 ELISIO MEDRADO";8066
"291040 ENCRUZILHADA";19535
"291050 ENTRE RIOS";39902
"291060 ESPLANADA";34146
"291070 EUCLIDES DA CUNHA";64547
"291072 EUNAPOLIS";120515
"291075 FATIMA";18469
"291077 FEIRA DA MATA";5825
"291080 FEIRA DE SANTANA";657948
"291085 FILADELFIA";18573
"291090 FIRMINO ALVES";5006
"291100 FLORESTA AZUL";11442
"291110 FORMOSA DO RIO PRETO";27421
"291120 GANDU";33938
"291125 GAVIAO";4493
"291130 GENTIO DO OURO";11263
"291140 GLORIA";16072
"291150 GONGOGI";5567
"291160 GOVERNADOR MANGABEIRA";21314
"291165 GUAJERU";8225
"291170 GUANAMBI";93065
"291180 GUARATINGA";19490
"291185 HELIOPOLIS";13074
"291190 IACU";25333
"291200 IBIASSUCE";10754
"291210 IBICARAI";22200
"291220 IBICOARA";21690
"291230 IBICUI";14306
"291240 IBIPEBA";17128
"291250 IBIPITANGA";14316
"291260 IBIQUERA";3837
"291270 IBIRAPITANGA";26794
"291280 IBIRAPUA";9259
"291290 IBIRATAIA";19375
"291300 IBITIARA";15062
"291310 IBITITA";17509
"291320 IBOTIRAMA";27670
"291330 ICHU";6415
"291340 IGAPORA";16047
"291345 IGRAPIUNA";13528
"291350 IGUAI";21897
"291360 ILHEUS";189028
"291370 INHAMBUPE";35397
"291380 IPECAETA";14064
"291390 IPIAU";42507
"291400 IPIRA";59264
"291410 IPUPIARA";10318
"291420 IRAJUBA";6255
"291430 IRAMAIA";11060
"291440 IRAQUARA";24759
"291450 IRARA";29509
"291460 IRECE";78425
"291465 ITABELA";29563
"291470 ITABERABA";68244
"291480 ITABUNA";196676
"291490 ITACARE";29337
"291500 ITAETE";13822
"291510 ITAGI";14314
"291520 ITAGIBA";15792
"291530 ITAGIMIRIM";6512
"291535 ITAGUACU DA BAHIA";12683
"291540 ITAJU DO COLONIA";6157
"291550 ITAJUIPE";19249
"291560 ITAMARAJU";62065
"291570 ITAMARI";7219
"291580 ITAMBE";25108
"291590 ITANAGRA";6087
"291600 ITANHEM";18258
"291610 ITAPARICA";20369
"291620 ITAPE";10658
"291630 ITAPEBI";9501
"291640 ITAPETINGA";68735
"291650 ITAPICURU";33254
"291660 ITAPITANGA";10630
"291670 ITAQUARA";8448
"291680 ITARANTIM";17517
"291685 ITATIM";16375
"291690 ITIRUCU";11261
"291700 ITIUBA";35491
"291710 ITORORO";16945
"291720 ITUACU";18493
"291730 ITUBERA";22299
"291733 IUIU";11532
"291735 JABORANDI";9592
"291740 JACARACI";14901
"291750 JACOBINA";86649
"291760 JAGUAQUARA";47738
"291770 JAGUARARI";34440
"291780 JAGUARIPE";18300
"291790 JANDAIRA";9535
"291800 JEQUIE";168733
"291810 JEREMOABO";39501
"291820 JIQUIRICA";14066
"291830 JITAUNA";14815
"291835 JOAO DOURADO";25799
"291840 JUAZEIRO";254481
"291845 JUCURUCU";9944
"291850 JUSSARA";16956
"291855 JUSSARI";6059
"291860 JUSSIAPE";7585
"291870 LAFAIETE COUTINHO";4221
"291875 LAGOA REAL";14546
"291880 LAJE";21704
"291890 LAJEDAO";3986
"291900 LAJEDINHO";3621
"291905 LAJEDO DO TABOCAL";7702
"291910 LAMARAO";9305
"291915 LAPAO";26998
"291920 LAURO DE FREITAS";217960
"291930 LENCOIS";11170
"291940 LICINIO DE ALMEIDA";12208
"291950 LIVRAMENTO DE NOSSA SENHORA";46249
"291955 LUIS EDUARDO MAGALHAES";116662
"291960 MACAJUBA";10758
"291970 MACARANI";22596
"291980 MACAUBAS";43725
"291990 MACURURE";7455
"291992 MADRE DE DEUS";19173
"291995 MAETINGA";7212
"292000 MAIQUINIQUE";9011
"292010 MAIRI";18161
"292020 MALHADA";15834
"292030 MALHADA DE PEDRAS";8972
"292040 MANOEL VITORINO";14295
"292045 MANSIDAO";14484
"292050 MARACAS";29197
"292060 MARAGOGIPE";37225
"292070 MARAU";25626
"292080 MARCIONILIO SOUZA";9507
"292090 MASCOTE";13941
"292100 MATA DE SAO JOAO";44839
"292105 MATINA";10629
"292110 MEDEIROS NETO";22925
"292120 MIGUEL CALMON";25317
"292130 MILAGRES";11434
"292140 MIRANGABA";16185
"292145 MIRANTE";10523
"292150 MONTE SANTO";49823
"292160 MORPARA";8232
"292170 MORRO DO CHAPEU";35224
"292180 MORTUGABA";11487
"292190 MUCUGE";12650
"292200 MUCURI";40005
"292205 MULUNGU DO MORRO";13625
"292210 MUNDO NOVO";17417
"292220 MUNIZ FERREIRA";7443
"292225 MUQUEM DE SAO FRANCISCO";10796
"292230 MURITIBA";30146
"292240 MUTUIPE";20612
"292250 NAZARE";28403
"292260 NILO PECANHA";12418
"292265 NORDESTINA";19500
"292270 NOVA CANAA";14035
"292273 NOVA FATIMA";8264
"292275 NOVA IBIA";6701
"292280 NOVA ITARANA";8059
"292285 NOVA REDENCAO";7708
"292290 NOVA SOURE";24906
"292300 NOVA VICOSA";41551
"292303 NOVO HORIZONTE";11565
"292305 NOVO TRIUNFO";11197
"292310 OLINDINA";23085
"292320 OLIVEIRA DOS BREJINHOS";21334
"292330 OURICANGAS";7939
"292335 OUROLANDIA";20037
"292340 PALMAS DE MONTE ALTO";20677
"292350 PALMEIRAS";10819
"292360 PARAMIRIM";21009
"292370 PARATINGA";30671
"292380 PARIPIRANGA";27866
"292390 PAU BRASIL";9584
"292400 PAULO AFONSO";119128
"292405 PE DE SERRA";13675
"292410 PEDRAO";6415
"292420 PEDRO ALEXANDRE";14288
"292430 PIATA";20859
"292440 PILAO ARCADO";37272
"292450 PINDAI";15146
"292460 PINDOBACU";19625
"292465 PINTADAS";10656
"292467 PIRAI DO NORTE";11429
"292470 PIRIPA";9255
"292480 PIRITIBA";17838
"292490 PLANALTINO";8254
"292500 PLANALTO";24036
"292510 POCOES";50642
"292520 POJUCA";33608
"292525 PONTO NOVO";18670
"292530 PORTO SEGURO";181007
"292540 POTIRAGUA";10636
"292550 PRADO";37241
"292560 PRESIDENTE DUTRA";15650
"292570 PRESIDENTE JANIO QUADROS";12986
"292575 PRESIDENTE TANCREDO NEVES";29343
"292580 QUEIMADAS";27362
"292590 QUIJINGUE";26457
"292593 QUIXABEIRA";9815
"292595 RAFAEL JAMBEIRO";20146
"292600 REMANSO";42746
"292610 RETIROLANDIA";14147
"292620 RIACHAO DAS NEVES";22323
"292630 RIACHAO DO JACUIPE";35118
"292640 RIACHO DE SANTANA";32103
"292650 RIBEIRA DO AMPARO";14525
"292660 RIBEIRA DO POMBAL";56170
"292665 RIBEIRAO DO LARGO";10039
"292670 RIO DE CONTAS";13627
"292680 RIO DO ANTONIO";13520
"292690 RIO DO PIRES";10801
"292700 RIO REAL";36997
"292710 RODELAS";10801
"292720 RUY BARBOSA";29606
"292730 SALINAS DA MARGARIDA";15568
"292740 SALVADOR";2568928
"292750 SANTA BARBARA";21723
"292760 SANTA BRIGIDA";15421
"292770 SANTA CRUZ CABRALIA";30862
"292780 SANTA CRUZ DA VITORIA";4721
"292790 SANTA INES";10628
"292800 SANTALUZ";39922
"292805 SANTA LUZIA";14377
"292810 SANTA MARIA DA VITORIA";40467
"292820 SANTANA";25520
"292830 SANTANOPOLIS";9023
"292840 SANTA RITA DE CASSIA";28826
"292850 SANTA TERESINHA";10847
"292860 SANTO AMARO";58413
"292870 SANTO ANTONIO DE JESUS";109267
"292880 SANTO ESTEVAO";54940
"292890 SAO DESIDERIO";34783
"292895 SAO DOMINGOS";8693
"292900 SAO FELIX";11198
"292905 SAO FELIX DO CORIBE";15740
"292910 SAO FELIPE";20918
"292920 SAO FRANCISCO DO CONDE";40932
"292925 SAO GABRIEL";19210
"292930 SAO GONCALO DOS CAMPOS";41909
"292935 SAO JOSE DA VITORIA";5451
"292937 SAO JOSE DO JACUIPE";10556
"292940 SAO MIGUEL DAS MATAS";10634
"292950 SAO SEBASTIAO DO PASSE";42936
"292960 SAPEACU";18609
"292970 SATIRO DIAS";16485
"292975 SAUBARA";11842
"292980 SAUDE";10715
"292990 SEABRA";48530
"293000 SEBASTIAO LARANJEIRAS";9610
"293010 SENHOR DO BONFIM";77976
"293015 SERRA DO RAMALHO";36119
"293020 SENTO SE";40147
"293030 SERRA DOURADA";17580
"293040 SERRA PRETA";18685
"293050 SERRINHA";84428
"293060 SERROLANDIA";13831
"293070 SIMOES FILHO";120394
"293075 SITIO DO MATO";13935
"293076 SITIO DO QUINTO";14359
"293077 SOBRADINHO";26959
"293080 SOUTO SOARES";17674
"293090 TABOCAS DO BREJO VELHO";12368
"293100 TANHACU";21741
"293105 TANQUE NOVO";17770
"293110 TANQUINHO";7983
"293120 TAPEROA";18571
"293130 TAPIRAMUTA";16253
"293135 TEIXEIRA DE FREITAS";153332
"293140 TEODORO SAMPAIO";7301
"293150 TEOFILANDIA";21827
"293160 TEOLANDIA";15919
"293170 TERRA NOVA";11035
"293180 TREMEDAL";16691
"293190 TUCANO";50959
"293200 UAUA";25441
"293210 UBAIRA";19162
"293220 UBAITABA";17967
"293230 UBATA";16097
"293240 UIBAI";13880
"293245 UMBURANAS";13888
"293250 UNA";18403
"293260 URANDI";15794
"293270 URUCUCA";22130
"293280 UTINGA";16691
"293290 VALENCA";90028
"293300 VALENTE";25126
"293305 VARZEA DA ROCA";14279
"293310 VARZEA DO POCO";8344
"293315 VARZEA NOVA";13847
"293317 VARZEDO";10296
"293320 VERA CRUZ";44978
"293325 VEREDA";6171
"293330 VITORIA DA CONQUISTA";394024
"293340 WAGNER";9847
"293345 WANDERLEY";13436
"293350 WENCESLAU GUIMARAES";25430
"293360 XIQUE-XIQUE";46979
"310010 ABADIA DOS DOURADOS";6365
"310020 ABAETE";23161
"310030 ABRE CAMPO";14312
"310040 ACAIACA";3997
"310050 ACUCENA";8995
"310060 AGUA BOA";12545
"310070 AGUA COMPRIDA";2165
"310080 AGUANIL";4490
"310090 AGUAS FORMOSAS";18841
"310100 AGUAS VERMELHAS";14486
"310110 AIMORES";26165
"310120 AIURUOCA";6382
"310130 ALAGOA";2816
"310140 ALBERTINA";3023
"310150 ALEM PARAIBA";31333
"310160 ALFENAS";81950
"310163 ALFREDO VASCONCELOS";7184
"310170 ALMENARA";41894
"310180 ALPERCATA";7029
"310190 ALPINOPOLIS";18672
"310200 ALTEROSA";14253
"310205 ALTO CAPARAO";5982
"310210 ALTO RIO DOCE";10994
"310220 ALVARENGA";4012
"310230 ALVINOPOLIS";15360
"310240 ALVORADA DE MINAS";4322
"310250 AMPARO DO SERRA";4595
"310260 ANDRADAS";42282
"310270 CACHOEIRA DE PAJEU";9333
"310280 ANDRELANDIA";12169
"310285 ANGELANDIA";7860
"310290 ANTONIO CARLOS";11345
"310300 ANTONIO DIAS";9388
"310310 ANTONIO PRADO DE MINAS";1558
"310320 ARACAI";2224
"310330 ARACITABA";2095
"310340 ARACUAI";35250
"310350 ARAGUARI";122874
"310360 ARANTINA";2991
"310370 ARAPONGA";8218
"310375 ARAPORA";8935
"310380 ARAPUA";2674
"310390 ARAUJOS";9556
"310400 ARAXA";117677
"310410 ARCEBURGO";9348
"310420 ARCOS";43348
"310430 AREADO";14212
"310440 ARGIRITA";2725
"310445 ARICANDUVA";4820
"310450 ARINOS";17598
"310460 ASTOLFO DUTRA";14565
"310470 ATALEIA";13967
"310480 AUGUSTO DE LIMA";4593
"310490 BAEPENDI";18768
"310500 BALDIM";7614
"310510 BAMBUI";24144
"310520 BANDEIRA";4821
"310530 BANDEIRA DO SUL";6146
"310540 BARAO DE COCAIS";32095
"310550 BARAO DE MONTE ALTO";4991
"310560 BARBACENA";129630
"310570 BARRA LONGA";5740
"310590 BARROSO";20566
"310600 BELA VISTA DE MINAS";10412
"310610 BELMIRO BRAGA";3299
"310620 BELO HORIZONTE";2416339
"310630 BELO ORIENTE";24503
"310640 BELO VALE";8946
"310650 BERILO";9769
"310660 BERTOPOLIS";4546
"310665 BERIZAL";4277
"310670 BETIM";429236
"310680 BIAS FORTES";3388
"310690 BICAS";14331
"310700 BIQUINHAS";2409
"310710 BOA ESPERANCA";41332
"310720 BOCAINA DE MINAS";5508
"310730 BOCAIUVA";49668
"310740 BOM DESPACHO";53995
"310750 BOM JARDIM DE MINAS";6968
"310760 BOM JESUS DA PENHA";4642
"310770 BOM JESUS DO AMPARO";5775
"310780 BOM JESUS DO GALHO";14756
"310790 BOM REPOUSO";13183
"310800 BOM SUCESSO";17510
"310810 BONFIM";7672
"310820 BONFINOPOLIS DE MINAS";5615
"310825 BONITO DE MINAS";10491
"310830 BORDA DA MATA";17811
"310840 BOTELHOS";15137
"310850 BOTUMIRIM";5841
"310855 BRASILANDIA DE MINAS";15432
"310860 BRASILIA DE MINAS";33188
"310870 BRAS PIRES";4314
"310880 BRAUNAS";4475
"310890 BRAZOPOLIS";14506
"310900 BRUMADINHO";40777
"310910 BUENO BRANDAO";11161
"310920 BUENOPOLIS";9229
"310925 BUGRE";4149
"310930 BURITIS";24693
"310940 BURITIZEIRO";24068
"310945 CABECEIRA GRANDE";6797
"310950 CABO VERDE";11396
"310960 CACHOEIRA DA PRATA";3781
"310970 CACHOEIRA DE MINAS";12248
"310980 CACHOEIRA DOURADA";2346
"310990 CAETANOPOLIS";11832
"311000 CAETE";39850
"311010 CAIANA";5463
"311020 CAJURI";4186
"311030 CALDAS";14588
"311040 CAMACHO";2867
"311050 CAMANDUCAIA";27551
"311060 CAMBUI";30870
"311070 CAMBUQUIRA";12560
"311080 CAMPANARIO";2917
"311090 CAMPANHA";16334
"311100 CAMPESTRE";21143
"311110 CAMPINA VERDE";18250
"311115 CAMPO AZUL";3802
"311120 CAMPO BELO";53943
"311130 CAMPO DO MEIO";11624
"311140 CAMPO FLORIDO";8838
"311150 CAMPOS ALTOS";13136
"311160 CAMPOS GERAIS";26809
"311170 CANAA";4832
"311180 CANAPOLIS";10755
"311190 CANA VERDE";5356
"311200 CANDEIAS";14236
"311205 CANTAGALO";4039
"311210 CAPARAO";5144
"311220 CAPELA NOVA";4416
"311230 CAPELINHA";41536
"311240 CAPETINGA";6652
"311250 CAPIM BRANCO";11105
"311260 CAPINOPOLIS";14899
"311265 CAPITAO ANDRADE";4650
"311270 CAPITAO ENEAS";14401
"311280 CAPITOLIO";10863
"311290 CAPUTIRA";9128
"311300 CARAI";19654
"311310 CARANAIBA";2960
"311320 CARANDAI";24368
"311330 CARANGOLA";32165
"311340 CARATINGA";90687
"311350 CARBONITA";8633
"311360 CAREACU";7029
"311370 CARLOS CHAGAS";18852
"311380 CARMESIA";2682
"311390 CARMO DA CACHOEIRA";11776
"311400 CARMO DA MATA";11279
"311410 CARMO DE MINAS";14114
"311420 CARMO DO CAJURU";24376
"311430 CARMO DO PARANAIBA";29899
"311440 CARMO DO RIO CLARO";21464
"311450 CARMOPOLIS DE MINAS";18498
"311455 CARNEIRINHO";9630
"311460 CARRANCAS";4153
"311470 CARVALHOPOLIS";3417
"311480 CARVALHOS";4507
"311490 CASA GRANDE";2260
"311500 CASCALHO RICO";2757
"311510 CASSIA";17495
"311520 CONCEICAO DA BARRA DE MINAS";3596
"311530 CATAGUASES";67872
"311535 CATAS ALTAS";5668
"311540 CATAS ALTAS DA NORUEGA";3141
"311545 CATUJI";7226
"311547 CATUTI";4805
"311550 CAXAMBU";21436
"311560 CEDRO DO ABAETE";1091
"311570 CENTRAL DE MINAS";6243
"311580 CENTRALINA";10440
"311590 CHACARA";3177
"311600 CHALE";6261
"311610 CHAPADA DO NORTE";10024
"311615 CHAPADA GAUCHA";12810
"311620 CHIADOR";2865
"311630 CIPOTANEA";5599
"311640 CLARAVAL";4777
"311650 CLARO DOS POCOES";7259
"311660 CLAUDIO";31665
"311670 COIMBRA";7285
"311680 COLUNA";8251
"311690 COMENDADOR GOMES";2813
"311700 COMERCINHO";6627
"311710 CONCEICAO DA APARECIDA";10668
"311720 CONCEICAO DAS PEDRAS";2837
"311730 CONCEICAO DAS ALAGOAS";29949
